2024-10-05 12:12:27 | Felipe Barbosa | AlphaTauri | 110.103
2024-10-05 16:11:17 | Leonardo Almeida | Mercedes | 110.104
2024-10-05 10:46:33 | Marcos Costa | Aston Martin | 110.105
2024-10-05 16:12:59 | Felipe Barbosa | Alpine | 110.106
2024-10-05 14:16:17 | Pedro Oliveira | Mercedes | 110.106
2024-10-05 13:59:01 | Marcos Costa | Haas | 110.114
2024-10-05 14:03:10 | Pedro Oliveira | McLaren | 110.117
2024-10-05 11:39:00 | Thiago Mendes | Haas | 110.118
2024-10-05 13:39:02 | Marcos Costa | AlphaTauri | 110.122
2024-10-05 16:13:46 | Leonardo Almeida | Ferrari | 110.127
2024-10-05 15:05:33 | Fernando Silva | Alpine | 110.128
2024-10-05 15:59:21 | José Ferreira | Red Bull Racing | 110.128
2024-10-05 14:26:19 | Thiago Mendes | Aston Martin | 110.128
2024-10-05 18:30:46 | Marcos Costa | Alfa Romeo | 110.132
2024-10-05 16:49:48 | Carlos Andrade | Aston Martin | 110.137
2024-10-05 17:48:43 | Thiago Mendes | Aston Martin | 110.139
2024-10-05 12:21:26 | Pedro Oliveira | Mercedes | 110.142
2024-10-05 12:13:09 | Marcos Costa | McLaren | 110.144
2024-10-05 16:09:35 | Marcos Costa | Mercedes | 110.145
2024-10-05 17:35:00 | Gabriel Souza | Williams | 110.146
2024-10-05 11:01:24 | Vinícius Pereira | Alfa Romeo | 110.147
2024-10-05 13:32:49 | Marcos Costa | Alpine | 110.155
2024-10-05 17:42:21 | Thiago Mendes | Red Bull Racing | 110.157
2024-10-05 12:42:15 | Marcos Costa | Alfa Romeo | 110.161
2024-10-05 15:57:36 | José Ferreira | Aston Martin | 110.163
2024-10-05 13:22:10 | Marcos Costa | Aston Martin | 110.163
2024-10-05 16:53:14 | Marcos Costa | Williams | 110.163
2024-10-05 12:24:43 | Carlos Andrade | Ferrari | 110.172
2024-10-05 13:54:54 | Carlos Andrade | Williams | 110.174
2024-10-05 13:35:03 | José Ferreira | Williams | 110.175
2024-10-05 17:50:32 | Thiago Mendes | Alpine | 110.18
2024-10-05 14:42:00 | Vinícius Pereira | Aston Martin | 110.182
2024-10-05 10:50:35 | Vinícius Pereira | Ferrari | 110.184
2024-10-05 18:12:49 | Marcos Costa | Alpine | 110.185
2024-10-05 18:48:50 | Rafael Rocha | Aston Martin | 110.185
2024-10-05 17:50:44 | Rafael Rocha | Aston Martin | 110.187
2024-10-05 10:08:13 | José Ferreira | Red Bull Racing | 110.188
2024-10-05 12:19:17 | Rafael Rocha | Ferrari | 110.193
2024-10-05 16:22:31 | Felipe Barbosa | Aston Martin | 110.195
2024-10-05 16:08:03 | Gabriel Souza | Red Bull Racing | 110.196
2024-10-05 14:29:18 | Leonardo Almeida | Mercedes | 110.203
2024-10-05 18:42:52 | Thiago Mendes | Alpine | 110.213
2024-10-05 16:17:56 | Thiago Mendes | Haas | 110.215
2024-10-05 11:24:23 | Vinícius Pereira | Mercedes | 110.216
2024-10-05 10:48:14 | Fernando Silva | Red Bull Racing | 110.219
2024-10-05 15:13:22 | Gabriel Souza | Ferrari | 110.219
2024-10-05 10:41:57 | Marcos Costa | Alpine | 110.219
2024-10-05 10:24:23 | Carlos Andrade | Alpine | 110.222
2024-10-05 18:29:04 | Fernando Silva | McLaren | 110.222
2024-10-05 14:38:31 | Thiago Mendes | AlphaTauri | 110.222
2024-10-05 18:54:55 | Gabriel Souza | Ferrari | 110.223
2024-10-05 18:37:18 | Vinícius Pereira | Alpine | 110.227
2024-10-05 18:34:55 | Pedro Oliveira | Alpine | 110.229
2024-10-05 15:54:16 | Marcos Costa | Aston Martin | 110.233
2024-10-05 13:25:18 | Felipe Barbosa | AlphaTauri | 110.235
2024-10-05 11:03:58 | José Ferreira | Alfa Romeo | 110.235
2024-10-05 10:52:05 | Thiago Mendes | Alfa Romeo | 110.235
2024-10-05 10:22:58 | Gabriel Souza | Haas | 110.239
2024-10-05 12:58:34 | Pedro Oliveira | Ferrari | 110.24
2024-10-05 18:31:07 | Fernando Silva | Williams | 110.241
